iter	Passed	Remaining
409	3775	5432
410	3784	5423
411	3793	5413
412	3801	5403
413	3815	5399
414	3825	5391
415	3836	5385
416	3843	5372
417	3851	5363
418	3858	5350
419	3867	5341
420	3873	5327
421	3882	5317
422	3888	5304
423	3897	5294
424	3904	5282
425	3912	5271
426	3918	5258
427	3926	5247
428	3932	5234
429	3940	5223
430	3948	5212
431	3955	5200
432	3964	5191
433	3973	5181
434	3982	5172
435	3992	5164
436	4003	5158
437	4017	5154
438	4026	5145
439	4036	5137
440	4047	5129
441	4054	5118
442	4064	5110
443	4070	5097
444	4079	5088
445	4086	5075
446	4096	5067
447	4102	5055
448	4111	5044
449	4117	5032
450	4126	5023
451	4133	5011
452	4144	5004
453	4151	4992
454	4160	4983
455	4169	4974
456	4180	4966
457	4189	4958
458	4198	4948
459	4212	4944
460	4224	4939
461	4240	4938
462	4253	4933
463	4262	4923
464	4276	4920
465	4286	4912
466	4296	4904
467	4308	4897
468	4318	4889
469	4326	4878
470	4332	4865
471	4340	4855
472	4347	4843
473	4355	4833
474	4363	4822
475	4373	4814
476	4382	4805
477	4396	4801
478	4410	4796
479	4424	4793
480	4446	4797
481	4465	4799
482	4478	4793
483	4487	4784
484	4495	4773
485	4506	4766
486	4513	4754
487	4522	4745
488	4529	4733
489	4538	4723
490	4545	4711
491	4554	4702
492	4563	4693
493	4574	4685
494	4584	4676
495	4592	4666
496	4626	4681
497	4637	4674
498	4654	4673
499	4662	4662
500	4673	4654
501	4680	4642
502	4694	4638
503	4705	4630
504	4718	4625
505	4727	4615
506	4735	4605
507	4745	4595
508	4756	4588
509	4768	4581
510	4777	4571
511	4788	4564
512	4801	4558
513	4812	4550
514	4830	4549
515	4842	4541
516	4855	4535
517	4863	4525
518	4874	4517
519	4883	4507
520	4889	4495
521	4899	4486
522	4907	4475
523	4917	4467
524	4926	4457
525	4941	4453
526	4952	4444
527	4960	4434
528	4973	4428
529	4990	4425
530	5004	4419
531	5017	4413
532	5035	4411
533	5044	4402
534	5056	4394
535	5065	4384
536	5073	4374
537	5083	4365
538	5090	4353
539	5098	4343
540	5105	4331
541	5113	4320
542	5119	4308
543	5126	4297
544	5134	4286
545	5142	4275
546	5151	4266
547	5158	4254
548	5167	4244
549	5173	4233
550	5181	4222
551	5190	4212
552	5200	4203
553	5212	4196
554	5220	4185
555	5239	4183
556	5261	4184
557	5270	4175
558	5282	4167
559	5289	4155
560	5300	4147
561	5311	4139
562	5318	4128
563	5330	4120
564	5336	4108
565	5346	4099
566	5353	4088
567	5362	4078
568	5370	4067
569	5378	4057
570	5388	4048
571	5397	4038
572	5406	4029
573	5415	4019
574	5427	4011
575	5438	4003
576	5450	3996
577	5461	3987
578	5476	3982
579	5484	3971
580	5498	3965
581	5507	3955
582	5518	3947
583	5530	3939
584	5542	3931
585	5550	3921
586	5563	3914
587	5572	3904
588	5581	3894
589	5594	3887
590	5611	3883
591	5623	3875
592	5631	3865
593	5641	3855
594	5650	3845
595	5666	3840
596	5676	3831
597	5687	3823
598	5694	3812
599	5701	3800
600	5711	3791
601	5717	3780
602	5727	3770
603	5733	3759
604	5742	3749
605	5749	3738
606	5760	3729
607	5767	3718
608	5779	3710
609	5791	3702
610	5806	3696
611	5817	3688
612	5826	3678
613	5842	3672
614	5856	3666
615	5872	3660
616	5879	3649
617	5893	3642
618	5903	3633
619	5910	3622
620	5922	3614
621	5933	3606
622	5942	3595
623	5953	3587
624	5960	3576
625	5970	3567
626	5978	3556
627	5986	3546
628	5994	3535
629	6002	3525
630	6012	3515
631	6022	3506
632	6035	3499
633	6049	3492
634	6064	3486
635	6101	3491
636	6122	3488
637	6132	3479
638	6139	3468
639	6147	3458
640	6155	3447
641	6163	3437
642	6171	3426
643	6180	3416
644	6189	3406
645	6199	3397
646	6205	3385
647	6214	3375
648	6221	3364
649	6232	3355
650	6241	3345
651	6251	3336
652	6266	3330
653	6284	3324
654	6295	3315
655	6306	3307
656	6316	3297
657	6330	3290
658	6338	3279
659	6350	3271
660	6356	3260
661	6369	3251
662	6377	3241
663	6386	3231
664	6396	3222
665	6404	3211
666	6419	3204
667	6430	3195
668	6436	3184
669	6448	3175
670	6457	3166
671	6466	3156
672	6478	3147
673	6487	3137
674	6496	3128
675	6512	3121
676	6521	3111
677	6531	3101
678	6538	3091
679	6546	3080
680	6553	3069
681	6561	3059
682	6567	3048
683	6576	3038
684	6583	3027
685	6591	3017
686	6600	3007
687	6611	2998
688	6621	2988
689	6635	2981
690	6649	2973
691	6660	2964
692	6672	2956
693	6681	2946
694	6694	2937
695	6703	2928
696	6712	2918
697	6726	2910
698	6733	2899
699	6742	2889
700	6751	2879
701	6760	2869
702	6767	2859
703	6776	2849
704	6783	2838
705	6792	2828
706	6799	2817
707	6806	2807
708	6813	2796
709	6821	2786
710	6828	2775
711	6831	2763
712	6838	2752
713	6845	2742
714	6852	2731
715	6859	2720
716	6869	2711
717	6877	2701
718	6890	2693
719	6907	2686
720	6928	2680
721	6946	2674
722	6963	2667
723	6971	2657
724	6982	2648
725	6993	2639
726	7000	2628
727	7012	2619
728	7022	2610
729	7029	2600
730	7040	2590
731	7046	2579
732	7055	2570
733	7064	2560
734	7080	2552
735	7092	2544
736	7103	2534
737	7112	2525
738	7123	2515
739	7137	2507
740	7144	2497
741	7155	2488
742	7166	2479
743	7180	2470
744	7194	2462
745	7205	2453
746	7214	2443
747	7227	2435
748	7240	2426
749	7249	2416
750	7259	2407
751	7271	2398
752	7284	2389
753	7294	2379
754	7304	2370
755	7322	2363
756	7335	2354
757	7347	2345
758	7355	2335
759	7373	2328
760	7383	2318
761	7399	2310
762	7405	2300
763	7414	2290
764	7421	2279
765	7430	2269
766	7438	2259
767	7444	2248
768	7454	2239
769	7460	2228
770	7472	2219
771	7481	2209
772	7489	2199
773	7501	2190
774	7512	2180
775	7518	2170
776	7530	2161
777	7540	2151
778	7548	2141
779	7555	2131
780	7574	2123
781	7582	2113
782	7598	2105
783	7606	2095
784	7613	2085
785	7618	2074
786	7623	2063
787	7630	2052
788	7635	2041
789	7640	2031
790	7646	2020
791	7652	2009
792	7658	1999
793	7665	1988
794	7670	1977
795	7679	1968
796	7687	1957
797	7695	1947
798	7702	1937
799	7762	1940
800	7785	1934
801	7793	1924
802	7799	1913
803	7812	1904
804	7819	1894
805	7827	1884
806	7835	1873
807	7847	1864
808	7853	1854
809	7862	1844
810	7868	1833
811	7876	1823
812	7882	1813
813	7890	1803
814	7899	1793
815	7908	1783
816	7915	1772
817	7922	1762
818	7929	1752
819	7937	1742
820	7943	1731
821	7951	1721
822	7959	1711
823	7970	1702
824	7978	1692
825	7985	1682
826	7991	1671
827	7996	1661
828	8004	1651
829	8010	1640
830	8016	1630
831	8024	1620
832	8030	1609
833	8039	1600
834	8045	1589
835	8054	1580
836	8061	1569
837	8068	1559
838	8076	1549
839	8082	1539
840	8089	1529
841	8095	1519
842	8108	1510
843	8116	1500
844	8123	1490
845	8133	1480
846	8140	1470
847	8148	1460
848	8155	1450
849	8164	1440
850	8171	1430
851	8178	1420
852	8186	1410
853	8193	1400
854	8203	1391
855	8208	1380
856	8215	1370
857	8224	1361
858	8231	1351
859	8236	1340
860	8241	1330
861	8248	1320
862	8253	1310
863	8258	1300
864	8265	1289
865	8270	1279
866	8275	1269
867	8281	1259
868	8287	1249
869	8292	1239
870	8298	1229
871	8304	1218
872	8311	1209
873	8318	1199
874	8328	1189
875	8336	1180
876	8344	1170
877	8351	1160
878	8362	1151
879	8407	1146
880	8417	1137
881	8435	1128
882	8447	1119
883	8461	1110
884	8470	1100
885	8480	1091
886	8489	1081
887	8498	1071
888	8508	1062
889	8516	1052
890	8525	1042
891	8531	1033
892	8542	1023
893	8550	1013
894	8560	1004
895	8569	994
896	8578	985
897	8587	975
898	8597	965
899	8609	956
900	8621	947
901	8639	938
902	8650	929
903	8663	919
904	8672	910
905	8681	900
906	8694	891
907	8702	881
908	8713	872
909	8722	862
910	8729	852
911	8739	843
912	8749	833
913	8761	824
914	8771	814
915	8779	805
916	8790	795
917	8802	786
918	8810	776
919	8820	766
920	8846	758
921	8862	749
922	8871	740
923	8894	731
924	8909	722
925	8922	713
926	8929	703
927	8942	693
928	8948	683
929	8961	674
930	8975	665
931	8986	655
932	8996	646
933	9006	636
934	9017	626
935	9025	617
936	9037	607
937	9045	597
938	9058	588
939	9071	579
940	9082	569
941	9089	559
942	9095	549
943	9106	540
944	9112	530
945	9120	520
946	9128	510
947	9139	501
948	9149	491
949	9157	481
950	9169	472
951	9176	462
952	9191	453
953	9203	443
954	9219	434
955	9232	424
956	9241	415
957	9253	405
958	9263	396
959	9274	386
960	9287	376
961	9296	367
962	9315	357
963	9323	348
964	9335	338
965	9343	328
966	9351	319
967	9359	309
968	9366	299
969	9373	289
970	9381	280
971	9392	270
972	9409	261
973	9420	251
974	9431	241
975	9444	232
976	9452	222
977	9465	212
978	9480	203
979	9489	193
980	9499	183
981	9511	174
982	9519	164
983	9530	154
984	9537	145
985	9546	135
986	9553	125
987	9562	116
988	9569	106
989	9577	96
990	9585	87
991	9594	77
992	9606	67
993	9614	58
994	9623	48
995	9633	38
996	9642	29
997	9651	19
998	9659	9
999	9669	0
