iter	MultiClass
0	0.9981193196
1	0.9121604951
2	0.8443817274
3	0.7898718106
4	0.731944408
5	0.6970486665
6	0.6558057838
7	0.6192917971
8	0.5765533974
9	0.5374593483
10	0.5060552564
11	0.4757376218
12	0.4534807733
13	0.4290992359
14	0.4061024708
15	0.3865568688
16	0.3645738739
17	0.3464383659
18	0.329232629
19	0.309993867
20	0.2944752707
21	0.2829317092
22	0.2713950991
23	0.261043267
24	0.2521120067
25	0.2413202504
26	0.2293687793
27	0.2193401222
28	0.210347526
29	0.2014879395
30	0.1936679907
31	0.1880167986
32	0.1814783891
33	0.1749169187
34	0.167167168
35	0.1616481848
36	0.1559678952
37	0.1501414118
38	0.1451725471
39	0.1411854177
40	0.1380380822
41	0.1356114738
42	0.1314543397
43	0.1269339652
44	0.1236246443
45	0.1204587435
46	0.1175808993
47	0.1147893687
48	0.1114175369
49	0.1085036582
50	0.1061703202
51	0.1041421838
52	0.1019673606
53	0.09860728351
54	0.09654479965
55	0.0946126864
56	0.09238819924
57	0.08959985881
58	0.088235896
59	0.08612124637
60	0.08425070996
61	0.08269774438
62	0.08116628768
63	0.07969406671
64	0.07795008858
65	0.07618337607
66	0.07468025313
67	0.07325621277
68	0.07159435536
69	0.07026163743
70	0.06920594009
71	0.06793006916
72	0.06643509325
73	0.06549516888
74	0.0640546507
75	0.06244883172
76	0.06126649382
77	0.0598014908
78	0.0582389919
79	0.05727892656
80	0.05619202898
81	0.05534548767
82	0.05448303576
83	0.05347661356
84	0.05266885962
85	0.05206743854
86	0.05132023171
87	0.05062440213
88	0.04922149496
89	0.04825267762
90	0.04765744412
91	0.04709965626
92	0.04613061441
93	0.04551402155
94	0.04443350826
95	0.04367167454
96	0.04286844477
97	0.04206821414
98	0.04151566394
99	0.04091125881
100	0.04013508495
101	0.03949413126
102	0.03909728444
103	0.03847283635
104	0.03755395527
105	0.03684313629
106	0.03630123962
107	0.03564839796
108	0.0349007717
109	0.0342593412
110	0.03390782766
111	0.03318954419
112	0.03259780746
